"padj" "direction"
"Gm5817" 0.00196008073285915 "Upregulated"
"H2bc27" 0.00198106983106602 "Upregulated"
"Lypd6" 0.00198491554476807 "Upregulated"
"Tut4" 0.00198491554476807 "Upregulated"
"Gm11714" 0.00199307807386899 "Upregulated"
"Prdx1" 0.00199567375228418 "Downregulated"
"Plekhn1" 0.00201885116607567 "Downregulated"
"Mex3d" 0.00202752443960383 "Downregulated"
"Casz1" 0.00203649738121118 "Upregulated"
"Acp1" 0.00203706199767887 "Upregulated"
"Gm61757" 0.00208592260728334 "Upregulated"
"Rgs8" 0.00209186794487812 "Upregulated"
"Vpreb3" 0.00210459882021613 "Upregulated"
"Rabac1" 0.0021125889546486 "Upregulated"
"9930111J21Rik1" 0.00211527495428439 "Downregulated"
"Gvin3" 0.00214065235346636 "Downregulated"
"Gnb5" 0.00216608898952302 "Upregulated"
"Gnal" 0.00220299933332814 "Upregulated"
"Stfa2l1" 0.00221836082469281 "Upregulated"
"Gm17059" 0.00224511855681531 "Upregulated"
"Actg2" 0.00224551345540973 "Upregulated"
"Samd3" 0.0022504996604402 "Upregulated"
"Mrpl16" 0.00226542069130678 "Downregulated"
"Fam20c" 0.00228688604328249 "Upregulated"
"Tubd1" 0.00229825695606229 "Downregulated"
"Gm20689" 0.00230574929395501 "Upregulated"
"Gm30211" 0.00230574929395501 "Upregulated"
"Patj" 0.00230624313414374 "Upregulated"
"Gm57133" 0.00230844162320813 "Downregulated"
"Gm37780" 0.00231598634794159 "Upregulated"
"Tom1l1" 0.00234176160431023 "Upregulated"
"Gm41611" 0.00234980816925385 "Downregulated"
"Ipp" 0.00235815681703485 "Downregulated"
"Gm75806" 0.00236169588907203 "Upregulated"
"Camk1" 0.00236278306818001 "Upregulated"
"Fadd" 0.00238651238567956 "Downregulated"
"Gm5122" 0.00238736227910532 "Downregulated"
"Gm5555" 0.0024046306793044 "Downregulated"
"Hmgn3" 0.00244656901546725 "Downregulated"
"Inafm2" 0.00247152510068105 "Upregulated"
"Gfra2" 0.00251642029853296 "Upregulated"
"Diras2" 0.00251720701734258 "Upregulated"
"A630014C17Rik" 0.00252808862265828 "Upregulated"
"Gm71700" 0.00254510014181416 "Upregulated"
"Grap2" 0.00257298671022148 "Upregulated"
"Msantd4" 0.00257735052710082 "Downregulated"
"Gm33682" 0.00258182136435094 "Upregulated"
"Gm46224" 0.00260562820227475 "Downregulated"
"Tmem199" 0.00260562820227475 "Downregulated"
"Tmsb4x" 0.00262942780163167 "Upregulated"
"Golm2" 0.00263321910409425 "Upregulated"
"Rpl17-ps10" 0.00264384249357806 "Upregulated"
"Hycc1" 0.00266586201675134 "Upregulated"
"2010007H06Rik" 0.00266689437878685 "Upregulated"
"Mtmr11" 0.00268394988209142 "Upregulated"
"Gm49654" 0.00269528937312109 "Upregulated"
"Gm31640" 0.00270053371682134 "Upregulated"
"Gm14820" 0.0027136644134235 "Upregulated"
"Ppp1r10" 0.00274312112896331 "Downregulated"
"Snn" 0.00275364105528646 "Upregulated"
"Lonrf3" 0.00282734980696276 "Upregulated"
"Psma5-ps" 0.002833812977885 "Downregulated"
"Gm10521" 0.00283443963693215 "Upregulated"
"Ppm1l" 0.00284969643185833 "Upregulated"
"Tes3-ps" 0.00284969643185833 "Upregulated"
"4930426L09Rik" 0.00285621451832834 "Upregulated"
"Eif1-ps1" 0.00285621451832834 "Upregulated"
"Gm56861" 0.00285734006974492 "Downregulated"
"Gpm6b" 0.00285847169815077 "Upregulated"
"Gm8355" 0.00285847169815077 "Downregulated"
"Gm38599" 0.0028763973118296 "Upregulated"
"Snap23" 0.00288336678648942 "Upregulated"
"Rai2" 0.00288698862538137 "Upregulated"
"Rapgef3" 0.00290706165356495 "Upregulated"
"Ifi35" 0.00290742429682965 "Downregulated"
"Gas2l3" 0.00290993865964235 "Downregulated"
"Cfdp1" 0.00291017025693663 "Downregulated"
"Gm53019" 0.00292520840052457 "Upregulated"
"Lrrc4" 0.00292611400503882 "Downregulated"
"Gm15834" 0.00293594740729647 "Downregulated"
"Hilpda" 0.00294615609995647 "Upregulated"
"Hdhd2" 0.00294615609995647 "Downregulated"
"Plp2rt" 0.00295004245826162 "Upregulated"
"Egln3" 0.0029710576292366 "Upregulated"
"mt-Atp6" 0.00297606276509128 "Upregulated"
"Slc24a3" 0.00298668326268609 "Upregulated"
"Ighv14-3" 0.00300380135281522 "Upregulated"
"Pigf" 0.00300380135281522 "Downregulated"
"Smurf1" 0.00303493325996242 "Upregulated"
"Gm44829" 0.00303493325996242 "Upregulated"
"Trip10" 0.00305740588106206 "Downregulated"
"Mir5107" 0.00306066545644897 "Downregulated"
"mt-Co2" 0.00306066545644897 "Upregulated"
"Aig1" 0.00307282959606741 "Downregulated"
"Canx" 0.00307282959606741 "Downregulated"
"Gm46921" 0.00307812116761247 "Upregulated"
"Gm63097" 0.00307812116761247 "Downregulated"
"Prrg4" 0.00308165619831543 "Upregulated"
"Tent4a" 0.0030823688149762 "Downregulated"
"Plxna4" 0.0031084721530998 "Upregulated"
"Mir142hg" 0.0031084721530998 "Upregulated"
"NA.12" NA NA
"Gm56938" 0.00313723042421809 "Upregulated"
"NA.13" NA NA
"Cox6c2" 0.00320295051191227 "Upregulated"
"Mbd3" 0.00323372962576073 "Downregulated"
"Gnaz" 0.00323756354938666 "Upregulated"
"Gm71754" 0.00325289944881539 "Upregulated"
"Gm72292" 0.00325614213067367 "Upregulated"
"Ormdl3" 0.00326644547608356 "Upregulated"
"Gpt2" 0.00326872131266063 "Downregulated"
"Hspe1" 0.00327982963653408 "Downregulated"
"Pam" 0.00328812864510255 "Upregulated"
"Ralbp1" 0.00330905873763243 "Upregulated"
"Pole4" 0.00331693792597571 "Downregulated"
"Apcdd1" 0.00333023634894003 "Upregulated"
"Vsig2" 0.00336760396822041 "Upregulated"
"Pgcka1" 0.0033679265060512 "Upregulated"
"Pfdn2" 0.00337645762178 "Downregulated"
"Gprc5a" 0.0033855566174312 "Upregulated"
"Iglv3" 0.00339838265483302 "Upregulated"
"Eef2kmt" 0.00341684514681638 "Downregulated"
"Gm12403" 0.00344000736000725 "Upregulated"
"Slc16a5" 0.003489979996177 "Upregulated"
"Gpx4" 0.00351111315247187 "Upregulated"
"Erich2" 0.00352050782901994 "Upregulated"
"Shisal2b" 0.00352050782901994 "Upregulated"
"Cfap68" 0.00352300620792373 "Upregulated"
"Gm26728" 0.00353488628642939 "Upregulated"
"Gm2058" 0.0035635142993691 "Upregulated"
"Prss27" 0.0035635142993691 "Upregulated"
"Pla2r1" 0.00358375645306372 "Downregulated"
"Bola1" 0.00365235687888973 "Downregulated"
"Fbh1" 0.00365571278851251 "Downregulated"
"Pbdc1" 0.00365571278851251 "Downregulated"
"Thsd1" 0.00367902999511543 "Upregulated"
"Gm69307" 0.00375586258967934 "Downregulated"
"Gm6542" 0.00375721913473312 "Downregulated"
"Gm49625" 0.00377847478479314 "Upregulated"
"Gm50431" 0.0038509222806603 "Upregulated"
"4933416M07Rik" 0.00385463253706158 "Upregulated"
"Gm15542" 0.00391126967630712 "Downregulated"
"Fap" 0.00391495621156179 "Downregulated"
"Hpx" 0.00391649355480123 "Upregulated"
"Dnajc6" 0.00392171194202719 "Upregulated"
"Plpp3" 0.00392403689263082 "Upregulated"
"Mmaa" 0.00394297331859001 "Downregulated"
"Pfkfb2" 0.00394998368325926 "Upregulated"
"Smim3" 0.00395628564381618 "Upregulated"
"NA.14" NA NA
"Fgfr2" 0.00401408857865344 "Upregulated"
"Gm69081" 0.00401618785360497 "Upregulated"
"2900052L18Rik" 0.00402224591349744 "Upregulated"
"Gm10785" 0.00405213512672034 "Upregulated"
"Zbtb42" 0.00408140534499182 "Upregulated"
"Gm15880" 0.00408337965572116 "Upregulated"
"Mars1" 0.00412984465954404 "Downregulated"
"Gm67607" 0.00420905055813201 "Upregulated"
"Gpr183" 0.00426953172045453 "Upregulated"
"Pgpep1" 0.00430060948535702 "Downregulated"
"Grem2" 0.0043023515189776 "Upregulated"
"1700019C18Rik" 0.0043023515189776 "Downregulated"
"Edf1" 0.00431148671719152 "Downregulated"
"Ankrd48" 0.00431227855529508 "Upregulated"
"Jag2" 0.0043412568387514 "Upregulated"
"Gm56901" 0.00435076259378895 "Downregulated"
"Klhl7" 0.00435101659864994 "Upregulated"
"E230016K23Rik" 0.00438433907658224 "Upregulated"
"Ppp1r11" 0.00443264713428389 "Downregulated"
"Gm33799" 0.00445158043829551 "Upregulated"
"Gm32894" 0.00446041323655999 "Upregulated"
"Gm49774" 0.00448659858792826 "Downregulated"
"Tspan12" 0.00449302723875713 "Upregulated"
"Gm38825" 0.00450184193782028 "Upregulated"
"Papss2" 0.00450366418169589 "Downregulated"
"Eml5" 0.00454359266595496 "Upregulated"
"Igkv4-86" 0.00459268178833525 "Upregulated"
"AU022252" 0.00463557470473341 "Downregulated"
"Gm67202" 0.00463557470473341 "Upregulated"
"Rplp0" 0.00463874453674181 "Upregulated"
"Taf6" 0.00465470954542541 "Downregulated"
"Gm45221" 0.00465551830312819 "Upregulated"
"E130215H24Rik" 0.00467107424453978 "Upregulated"
"Pcbp3" 0.00469309522136597 "Upregulated"
"Gm47021" 0.00469309522136597 "Upregulated"
"Gm12328" 0.00471953084544537 "Upregulated"
"Cpne9" 0.00472708032878736 "Upregulated"
"Taco1os" 0.00473343788809055 "Upregulated"
"Mpp1" 0.00473405080975223 "Upregulated"
"Otub2" 0.00474402993275333 "Upregulated"
"Sowaha" 0.00476584128060346 "Upregulated"
"Gm42870" 0.00476584128060346 "Upregulated"
"Jcad" 0.00477230423354757 "Upregulated"
"Gm12989" 0.00481201692798619 "Downregulated"
"Rbfaos" 0.00482358003370461 "Upregulated"
"Dpysl2" 0.00482571316670702 "Downregulated"
"Coa7" 0.00483541934660226 "Downregulated"
"Rpl13-ps1" 0.00488521878665977 "Upregulated"
"Ovgp1" 0.00494043961389091 "Upregulated"
"Gm69171" 0.00494043961389091 "Upregulated"
"Ell" 0.00494236420494915 "Upregulated"
"Gm16378" 0.0049452576152658 "Upregulated"
"Gm75627" 0.00496253207939774 "Upregulated"
"Slc37a3" 0.00499633687407948 "Upregulated"
"Gm59468" 0.00500459751096958 "Upregulated"
"Gm53475" 0.00501868552379052 "Downregulated"
"Gm53472" 0.00503216724790062 "Downregulated"
"Dpysl3" 0.00503216724790062 "Upregulated"
"2700097O09Rik" 0.00503420691414405 "Upregulated"
"Gm67885" 0.00507893366878999 "Upregulated"
"Gm46617" 0.0050863333990972 "Upregulated"
"Nmnat2" 0.00509465894024116 "Upregulated"
"Gm15590" 0.00509465894024116 "Upregulated"
"Gm12708" 0.00510175843018842 "Downregulated"
"Gm56582" 0.00512869950497008 "Downregulated"
"Rpl39" 0.00520460623469759 "Upregulated"
"Gm5829" 0.00522774637270354 "Upregulated"
"Gm56171" 0.00523498875340105 "Upregulated"
"Sirt3" 0.0052390808038906 "Upregulated"
"Gm74960" 0.00532877093922824 "Upregulated"
"Igkc" 0.00534336612635425 "Upregulated"
"Reno1" 0.0053473512503306 "Upregulated"
"Vcf2" 0.00539967373666672 "Upregulated"
"Smim14" 0.00545463217349703 "Upregulated"
"Gm57397" 0.00551071579328502 "Upregulated"
"Endou" 0.00551071579328502 "Upregulated"
"Spint1" 0.00551159283792679 "Upregulated"
"Gm41659" 0.00553536440358047 "Upregulated"
"Gm21781" 0.00562847370616433 "Upregulated"
"Gm64907" 0.00563191090089613 "Upregulated"
"Otud7b" 0.00564923125486651 "Upregulated"
"Gm16548" 0.00567772481242048 "Upregulated"
"Gm71183" 0.00567772481242048 "Upregulated"
"Gm32273" 0.00567899290153073 "Upregulated"
"Gm36723" 0.00569113337077891 "Upregulated"
"Spryd4" 0.00574549225229709 "Downregulated"
"Ppm1e" 0.00575238039368348 "Upregulated"
"Oplah" 0.00575585250852644 "Upregulated"
"NA.15" NA NA
"Gm53346" 0.00578260610683169 "Upregulated"
"Mrps18b" 0.00579159463112756 "Downregulated"
"Rps12-ps10" 0.00579579943096451 "Upregulated"
"Gm10425" 0.00580851902562568 "Downregulated"
"Mcc" 0.0058186526859575 "Downregulated"
"Gm73722" 0.00581888149165201 "Upregulated"
"Lmtk2" 0.00583326705038799 "Upregulated"
"Frat1" 0.00584895025831867 "Upregulated"
"Rian" 0.00586825933397959 "Upregulated"
"Gm35638" 0.00587181596884339 "Upregulated"
"9630025H16Rik" 0.00590151890455931 "Upregulated"
"Dop1a" 0.00591435721685688 "Upregulated"
"Rbp1" 0.00592047071005363 "Upregulated"
"Gm40816" 0.00593588351151946 "Upregulated"
"Zfp97" 0.00595610513890837 "Downregulated"
"Gm12960" 0.00601628027495902 "Downregulated"
"4933417E11Rik" 0.00604007564446802 "Upregulated"
"Prrt1" 0.00604007564446802 "Upregulated"
"Gm9397" 0.00604145976482541 "Upregulated"
"Cd209c" 0.00604554044750219 "Upregulated"
"Sema6d" 0.00604690158786131 "Upregulated"
"Ace" 0.00605037460166752 "Upregulated"
"Nrcam" 0.00605374791839364 "Upregulated"
"Aff2" 0.00605774597054582 "Upregulated"
"Gm37978" 0.00606237890248126 "Downregulated"
"Iglc2" 0.00606556039114143 "Upregulated"
"Gm15489" 0.00607630646334561 "Downregulated"
"Il5" 0.00609431557888267 "Upregulated"
"Fastkd2" 0.00611053785535663 "Downregulated"
"Adh1" 0.00611271408404257 "Upregulated"
"Gm63261" 0.00612161150885454 "Upregulated"
"NA.16" NA NA
"Stard5" 0.00613444895709613 "Downregulated"
"Gm60322" 0.00615402422174907 "Upregulated"
"Chdh" 0.00615672768002851 "Upregulated"
"Gucy1b1" 0.00616079397610899 "Upregulated"
"Cpsf2" 0.00616079397610899 "Downregulated"
"Gm51785" 0.00618026666451925 "Upregulated"
"Dubr" 0.00619327685187337 "Downregulated"
"Ttf2" 0.00620883546880296 "Downregulated"
"1700028N14Rik" 0.00621228182239658 "Upregulated"
"Lamp5" 0.00621718195092842 "Upregulated"
"Gm57386" 0.0062282493587607 "Upregulated"
"Gm73470" 0.00623110063323705 "Upregulated"
"Gm11942" 0.0062447020324093 "Upregulated"
"Gm16201" 0.0062447020324093 "Upregulated"
"Pigp" 0.00625880783590369 "Upregulated"
"Hsd17b14" 0.00626604691790348 "Upregulated"
"Klhl22" 0.00626604691790348 "Downregulated"
"Rnd3" 0.00628320282501832 "Downregulated"
"Fignl2" 0.00631331396727208 "Upregulated"
"Gm13241" 0.00633421445679891 "Downregulated"
"Phyhip" 0.00633747828536767 "Upregulated"
"Gm53778" 0.00634641502834092 "Upregulated"
"Ift20" 0.00641848952696106 "Upregulated"
"Gm26583" 0.00643271031197991 "Upregulated"
"Dtd1" 0.00644212886103281 "Downregulated"
"Gm37968" 0.00644212886103281 "Downregulated"
"4930570N18Rik" 0.00644375344098192 "Upregulated"
"Pnpla7" 0.00646461545403626 "Upregulated"
"Lyl1" 0.00646461545403626 "Downregulated"
"Gm10080" 0.00646461545403626 "Upregulated"
"Aldh3a1" 0.0064848633177673 "Upregulated"
"2500004C02Rik" 0.0065262814113302 "Upregulated"
"Zbtb3" 0.00657072207124353 "Downregulated"
"Ccno" 0.00659887311491084 "Upregulated"
"Gm42632" 0.0066648492689516 "Upregulated"
"Rdm1" 0.00672603277946013 "Downregulated"
"Peg13" 0.00672603277946013 "Upregulated"
"Adamtsl5" 0.00678119316999275 "Upregulated"
"Mitf" 0.00679544028545917 "Downregulated"
"Panct2" 0.00680668179313202 "Upregulated"
"Siglecl2" 0.00683647224885513 "Upregulated"
"Stk32b" 0.00684139713379846 "Upregulated"
"Scgb1a1" 0.00687924516210808 "Upregulated"
"Nup35" 0.00689006512658633 "Downregulated"
"Ddt" 0.00689235771710902 "Downregulated"
"Marchf8" 0.00691227709135216 "Upregulated"
"Frg1" 0.00691482831459639 "Upregulated"
"1700096K18Rik" 0.00691988064072174 "Upregulated"
"Klrk1" 0.0069576539636569 "Downregulated"
"Fam120aos" 0.00695985721331614 "Upregulated"
"I730030J21Rik" 0.0069702683116703 "Upregulated"
"Gm43197" 0.00697195244115486 "Downregulated"
"Oas1b" 0.00698591915586293 "Downregulated"
"2010013B24Rik" 0.0069900103321698 "Upregulated"
"Gm15229" 0.00702135893498755 "Downregulated"
"Eqtn" 0.00703688382364974 "Downregulated"
"Gm9830" 0.00703688382364974 "Upregulated"
"Cnnm3" 0.00704907118051172 "Upregulated"
"Gm36287" 0.00704907118051172 "Upregulated"
"Wnt11" 0.0070601712869862 "Upregulated"
"Cops7a" 0.00707311714425668 "Downregulated"
"Gm9625" 0.0070741438251108 "Upregulated"
"Ngfr" 0.00709216284507562 "Upregulated"
"Cep19" 0.00713750498941013 "Upregulated"
"Gm52521" 0.00717108014018805 "Upregulated"
"Slc49a3" 0.00727869091141702 "Downregulated"
"Scrg1" 0.00730753836700988 "Upregulated"
"Als2" 0.00731159876653562 "Downregulated"
"St13" 0.00731611109426296 "Downregulated"
"Slc6a2" 0.00733611468009395 "Upregulated"
"NA.17" NA NA
"Gm48503" 0.00734962341564086 "Upregulated"
"Zfand3" 0.00735943418897375 "Upregulated"
"Fam163a" 0.00736571905360109 "Upregulated"
"Zfp455" 0.00737120053819963 "Downregulated"
"Cacng8" 0.0074065676518903 "Downregulated"
"Rnf121" 0.0074429215276892 "Downregulated"
"Shpk" 0.00750102209788186 "Upregulated"
"Gm73438" 0.00751826029051311 "Downregulated"
"Gm44238" 0.00758544556847134 "Upregulated"
"Rnf125" 0.0075865533227322 "Upregulated"
"Gm64529" 0.00760834188004529 "Upregulated"
"Gm46412" 0.00761220501684512 "Upregulated"
"Prorp" 0.007614906216324 "Downregulated"
"Sgtb" 0.0076163302726626 "Upregulated"
"Ppp2r1b" 0.00761867061378326 "Downregulated"
"Mast2" 0.00762242533594476 "Upregulated"
"Mrps15" 0.00767942364988354 "Downregulated"
"Ighv9-3" 0.00768101959338551 "Upregulated"
"Ifi203-ps" 0.00768652735323124 "Downregulated"
"Mrpl49" 0.00769916453387846 "Downregulated"
"Gm62735" 0.00770014364474298 "Upregulated"
"Als2cl" 0.00772379542141062 "Upregulated"
"Slc35b3" 0.00784135923538247 "Upregulated"
"Zfp82" 0.00785518596283214 "Downregulated"
"Fam110a" 0.00786135142213151 "Downregulated"
"Gm42890" 0.00795594817286226 "Upregulated"
"Rnd2" 0.00798110908564538 "Upregulated"
"Lrrc56" 0.00801057531722164 "Upregulated"
"Gm53065" 0.00804528916680043 "Upregulated"
"Gm65068" 0.00808274966203941 "Upregulated"
"Gm73250" 0.00808382732449133 "Upregulated"
"Mrps12" 0.00814742378548849 "Downregulated"
"Gm74518" 0.00814742378548849 "Upregulated"
"Smpd3" 0.00816925652527417 "Upregulated"
"Trmo" 0.00817358322275007 "Downregulated"
"Gapt" 0.0082092783277483 "Upregulated"
"Ndufb11" 0.00831962783963068 "Upregulated"
"Srcin1" 0.00835955827686111 "Downregulated"
"Gm57006" 0.00836974839676029 "Downregulated"
"Gm63459" 0.00837212947873854 "Upregulated"
"Gm43672" 0.00838561518401309 "Upregulated"
"Lhx1" 0.00841858965574273 "Downregulated"
"Gm16001" 0.00842565163549567 "Upregulated"
"Efhd1" 0.00843107354126515 "Upregulated"
"Gm44165" 0.00843107354126515 "Downregulated"
"Ifi214" 0.00845503746431695 "Downregulated"
"Slc16a4" 0.00845503746431695 "Upregulated"
"Perm1" 0.00850351351309042 "Downregulated"
"Efnb3" 0.00852239017104716 "Downregulated"
"H19" 0.00854072202175143 "Upregulated"
"Zbtb10" 0.00854700377958797 "Upregulated"
"Ppp1r14b" 0.00854700377958797 "Downregulated"
"Ighv1-4" 0.00855847905959732 "Upregulated"
"Cd300ld" 0.0086349142186778 "Upregulated"
"Nucb1" 0.00863661816889062 "Upregulated"
"Gm10605" 0.00863851236831087 "Upregulated"
"Gm42664" 0.00866651936649081 "Upregulated"
"Selenoh" 0.00866767004580617 "Downregulated"
"Ccdc92" 0.00873349015164103 "Upregulated"
"Apol10b" 0.00875065703562679 "Downregulated"
"A330023F24Rik" 0.00882391369729491 "Upregulated"
"Pon2" 0.00885540197384044 "Upregulated"
"Gm38293" 0.00887082447446642 "Downregulated"
"Tef" 0.00888619175009814 "Upregulated"
"Srbd1" 0.00890137761480022 "Downregulated"
"B230317F23Rik" 0.00892052677038993 "Downregulated"
"Ackr2" 0.0089714391026682 "Upregulated"
"Prrt4" 0.00902633937394858 "Upregulated"
"NA.18" NA NA
"Gm39523" 0.0091028683925323 "Upregulated"
"Spp1" 0.00912096186802904 "Upregulated"
"Ncam1" 0.00917354506827171 "Upregulated"
"Gm16120" 0.00917457800571641 "Upregulated"
"Pus1" 0.0092042848957896 "Downregulated"
"2810001G20Rik" 0.0092042848957896 "Upregulated"
"mt-Td" 0.0092042848957896 "Upregulated"
"Gm56635" 0.00921214548980257 "Upregulated"
"Gm29477" 0.00924798236052802 "Upregulated"
"Lockd" 0.00930993190739664 "Upregulated"
"Lbhd2" 0.00931834891795089 "Downregulated"
"Neto2" 0.0093283514359238 "Downregulated"
"Elob" 0.00932988439438362 "Upregulated"
"Gmpr" 0.00936184358864114 "Upregulated"
"Eif4ebp3" 0.00937555930583694 "Upregulated"
"Gm5605" 0.00937891581412984 "Upregulated"
"Jazf1" 0.00940985644457962 "Downregulated"
"Sergef" 0.00945085357171027 "Downregulated"
"Ddx31" 0.00946973395104358 "Downregulated"
"2700079J08Rik" 0.00946973395104358 "Upregulated"
"Gm39792" 0.00956245447380714 "Upregulated"
"2810454H06Rik" 0.00956766496399636 "Upregulated"
"Nme7" 0.00960242051892955 "Downregulated"
"Gm73879" 0.00964060639014388 "Upregulated"
"Lepr" 0.00965044230950554 "Upregulated"
"Timm17b" 0.00969723623059452 "Upregulated"
"Cep15" 0.00972737985045702 "Downregulated"
"Stab2" 0.00978557431567357 "Upregulated"
"Csta2" 0.00979267464315618 "Upregulated"
"Usp40" 0.00982897226704543 "Downregulated"
"C730036E19Rik" 0.00989415228447382 "Upregulated"
"Tle1" 0.00990227702357577 "Upregulated"
"Gm71896" 0.00993274153765102 "Upregulated"
"Trim30d" 0.0099410652104633 "Downregulated"
"Pigbos1" 0.0099410652104633 "Downregulated"
"Dnaja3" 0.0099410652104633 "Downregulated"
"Lmbr1l" 0.00994160356326735 "Upregulated"
"Fbn1" 0.00999623789075734 "Downregulated"
"Gm5535" 0.0100295682084473 "Downregulated"
"Gm43403" 0.0100524380953259 "Downregulated"
"Gm58424" 0.0100560734932487 "Upregulated"
"Nudt3" 0.0101639465489459 "Upregulated"
"Gm46724" 0.0101933626386494 "Upregulated"
"Gm6054" 0.0102081786961406 "Upregulated"
"Ndrg3" 0.0102434684751462 "Upregulated"
"Tspan2os" 0.0102443582424752 "Upregulated"
"Gm49077" 0.0102473870639248 "Upregulated"
"NA.19" NA NA
"H1f10" 0.0103130943001638 "Upregulated"
"Rgs18" 0.0103873291980988 "Upregulated"
"Gm56529" 0.0104100474808035 "Upregulated"
"Gm15886" 0.0104277556319255 "Upregulated"
"Mgmt" 0.0104587571433844 "Upregulated"
"Kat2a" 0.0104926800564608 "Downregulated"
"Abat" 0.0105005178380058 "Upregulated"
"Gm20033" 0.0105391926972012 "Upregulated"
"Gvin-ps7" 0.010570999106188 "Downregulated"
"Cenatac" 0.0107290138893062 "Upregulated"
"Sord" 0.0107375535806232 "Upregulated"
"4931422A03Rik" 0.0107734575261801 "Upregulated"
"B3gnt3" 0.010805155025502 "Downregulated"
"Gm17036" 0.010805155025502 "Upregulated"
"Gm59426" 0.0108064798665256 "Upregulated"
"Chd6" 0.0108198925510746 "Upregulated"
"Apol7d" 0.0108836034608347 "Upregulated"
"Fhl1" 0.0108967843805494 "Upregulated"
"Dlg3" 0.0109089691324157 "Downregulated"
"Cd48" 0.0109281088229896 "Downregulated"
"Timm10" 0.010956161062957 "Downregulated"
"Slc16a2" 0.0109916918101917 "Upregulated"
"Gm11944" 0.0110160687616654 "Upregulated"
"2310040G24Rik" 0.011021134129404 "Downregulated"
"Gm867" 0.0110239500789423 "Upregulated"
"Gm5782" 0.0110252382900387 "Downregulated"
"Eipr1" 0.0110490962709694 "Upregulated"
"Adsl" 0.0110588297587759 "Downregulated"
"4833413E03Rik" 0.0112042989208584 "Upregulated"
"Igkv8-19" 0.0112467012452196 "Upregulated"
"Gata2" 0.0112467012452196 "Upregulated"
"Rbp4" 0.0112479739057029 "Upregulated"
"Gm62345" 0.011263203269927 "Upregulated"
"Gm2848" 0.0112675975090772 "Upregulated"
"mt-Tp" 0.0113296938994037 "Upregulated"
"Spsb1" 0.0113541623436396 "Upregulated"
"Cap2" 0.0113541623436396 "Upregulated"
"Aspg" 0.0113541623436396 "Upregulated"
"Gm66922" 0.0113763396822586 "Upregulated"
"Kiss1r" 0.0113932560862229 "Upregulated"
"Cacna1f" 0.0114503553792446 "Upregulated"
"1700001K23Rik" 0.0114632138810363 "Upregulated"
"Ctnnd1" 0.011463321808274 "Downregulated"
"Gm56741" 0.011463321808274 "Upregulated"
"Gm47218" 0.0114676249340972 "Upregulated"
"Gm44710" 0.0114686793412565 "Upregulated"
"Slc9a6" 0.011502893675468 "Upregulated"
"Gm43769" 0.0115154840148942 "Upregulated"
"Rbm10" 0.0115726384834412 "Downregulated"
"Ighv14-4" 0.0115726384834412 "Upregulated"
"6330403L08Rik" 0.0116231172049928 "Upregulated"
"Maged1" 0.0116298719878768 "Upregulated"
"Gm11836" 0.0116590785407881 "Upregulated"
"Mthfd2l" 0.0116590785407881 "Upregulated"
"Gm63536" 0.0116590785407881 "Upregulated"
"Rras" 0.0116627035988564 "Downregulated"
"Gm10252" 0.0116693654407181 "Upregulated"
"Hrob" 0.011675249750449 "Downregulated"
"Gm12159" 0.011703495424374 "Upregulated"
"Pla2g12a" 0.0117074755867778 "Upregulated"
"Gm15537" 0.0117074755867778 "Downregulated"
"Cpap" 0.011807747327341 "Downregulated"
"2900093K20Rik" 0.0118203523199492 "Upregulated"
"Gm75569" 0.0119456254293961 "Upregulated"
"Gm30978" 0.0121636280583859 "Upregulated"
"Zyg11b" 0.0121644767045936 "Upregulated"
"4931414P19Rik" 0.0121734910483473 "Downregulated"
"Fbxo47" 0.012256519895615 "Downregulated"
"Eng" 0.0122698094414375 "Downregulated"
"H3f5" 0.0122724983249857 "Upregulated"
"Gm5763" 0.012279878379913 "Upregulated"
"Cd34" 0.0122850091482781 "Upregulated"
"Rps29" 0.0123093483257522 "Upregulated"
"Sdc3" 0.0123229016537389 "Downregulated"
"Map1lc3a" 0.0123262375781667 "Upregulated"
"Hspa2" 0.0123274999074823 "Downregulated"
"Xkrx" 0.0123568537315859 "Upregulated"
"Gm10257" 0.0123568537315859 "Upregulated"
"Itgb6" 0.0124159105924616 "Upregulated"
"Gm13986" 0.0124375439067914 "Upregulated"
"Ap2m1-ps" 0.0125071846985111 "Upregulated"
"9030607J07Rik" 0.012521558043887 "Upregulated"
"Gm29233" 0.0125481116210773 "Upregulated"
"Gm35922" 0.0125628466064494 "Upregulated"
"Gm34590" 0.0126479542391973 "Upregulated"
"Pick1" 0.0127095108020831 "Downregulated"
"Gm33592" 0.0127355474858076 "Upregulated"
"Gpr141b" 0.0127704255675878 "Downregulated"
"Pycr3" 0.0128125525555819 "Downregulated"
"Mid1" 0.0128496705297885 "Upregulated"
"Ypel2" 0.0128496705297885 "Upregulated"
"Abcg2" 0.012860746248102 "Upregulated"
"Gm35722" 0.0129771980711129 "Upregulated"
"Creld2" 0.0130463656523008 "Downregulated"
"Gm56911" 0.0130968540965726 "Upregulated"
"Gemin6" 0.0131881116916125 "Downregulated"
"Pcna" 0.0132341136519798 "Downregulated"
"Wipf3" 0.013261823733773 "Upregulated"
"Gm15931" 0.0133676633979304 "Downregulated"
"Gm56982" 0.0133782019576938 "Upregulated"
"Gm15401" 0.0133837112535732 "Downregulated"
