"padj" "direction"
"Dnajc2" 7.23957359082512e-08 "Downregulated"
"Rufy3" 7.5425572523031e-08 "Downregulated"
"D7Bwg0826e" 7.59087840831276e-08 "Upregulated"
"Rab6b" 7.74246506074629e-08 "Upregulated"
"Nsg2" 7.91517462201695e-08 "Upregulated"
"Gm61125" 8.42569186320942e-08 "Upregulated"
"Slc39a1" 8.47397838236606e-08 "Downregulated"
"Mrpl38" 8.93179925981604e-08 "Downregulated"
"mt-Rnr2" 8.99399417013467e-08 "Upregulated"
"Il1r1" 9.10719213188594e-08 "Upregulated"
"Ints6l" 9.10719213188594e-08 "Upregulated"
"Gm66006" 9.10719213188594e-08 "Upregulated"
"Plekhb2" 9.14939697776742e-08 "Downregulated"
"Gm7331" 9.65528045044687e-08 "Upregulated"
"Hyal3" 1.06940246526539e-07 "Upregulated"
"Ptpmt1" 1.11362944802478e-07 "Downregulated"
"Plp2" 1.11362944802478e-07 "Upregulated"
"Marveld1" 1.12226835767812e-07 "Upregulated"
"H2-K1" 1.37929513002546e-07 "Downregulated"
"Gm7808" 1.41172484901778e-07 "Upregulated"
"Fhdc1" 1.43336402891265e-07 "Upregulated"
"Gm16675" 1.43336402891265e-07 "Downregulated"
"Cxcl10" 1.43922643628615e-07 "Downregulated"
"Ppp1r15a" 1.46993505215331e-07 "Upregulated"
"Cyp46a1" 1.63659817969562e-07 "Upregulated"
"Gm15915" 1.68399412176022e-07 "Upregulated"
"Gm68762" 1.71651127877762e-07 "Downregulated"
"Nod2" 1.72499577714505e-07 "Downregulated"
"Gm33370" 1.72967680885777e-07 "Upregulated"
"Rilpl2" 1.80169979512513e-07 "Downregulated"
"Brpf3" 1.80970111439105e-07 "Upregulated"
"6430548M08Rik" 1.81412830430463e-07 "Upregulated"
"Cavin1" 1.91213883591935e-07 "Upregulated"
"Ypel3" 1.9230797968289e-07 "Upregulated"
"Tnfaip8l3" 2.25436500301909e-07 "Downregulated"
"Larp1" 2.29864483860984e-07 "Downregulated"
"Pla2g7" 2.30742767066263e-07 "Downregulated"
"Zfp704" 2.48940398026929e-07 "Upregulated"
"Scly" 2.54881453590453e-07 "Downregulated"
"Stmp1" 2.72767067866117e-07 "Upregulated"
"Mturn" 3.04337116821692e-07 "Upregulated"
"2310015A10Rik" 3.22654106040709e-07 "Upregulated"
"Rtl5" 3.24842032932693e-07 "Downregulated"
"Cmas" 3.26622769455447e-07 "Upregulated"
